#{"t_start": 1671732235.1091685, "env_id": null}
r,l,t
0.0,7,2.921861
0.0,7,2.92199
0.0,16,3.190414
0.0,51,4.322597
1.0,55,4.454885
0.0,59,4.594179
0.0,62,4.684377
0.0,9,4.980503
0.0,5,5.141068
0.0,93,5.699149
0.0,11,6.063431
1.0,31,6.162972
0.0,107,6.391469
0.0,45,7.62783
0.0,164,8.019394
0.0,185,8.702457
0.0,201,9.230522
1.0,176,10.214447
0.0,173,10.246325
0.0,87,13.050402
1.0,2,13.1154
0.0,136,13.145898
0.0,5,13.302205
0.0,250,14.384714
0.0,7,14.608577
0.0,21,15.288673
0.0,197,16.490816
0.0,115,16.879997
0.0,479,18.123728
0.0,7,18.354367
0.0,78,20.877054
0.0,49,22.464824
0.0,624,22.816917
0.0,58,24.697536
0.0,391,25.643188
0.0,45,26.151208
0.0,714,27.37737
1.0,587,28.118939
0.0,18,28.703881
0.0,4,28.825596
1.0,850,30.639492
0.0,777,31.122503
0.0,457,31.282486
0.0,735,31.319242
0.0,500,31.476666
0.0,955,33.378471
0.0,966,33.668171
0.0,205,33.775326
0.0,981,34.261013
0.0,1001,34.668816
0.0,122,35.087384
0.0,212,35.343958
1.0,11,35.439427
0.0,63,35.573
1.0,62,37.340932
0.0,380,37.563043
0.0,225,38.04776
0.0,11,38.406277
0.0,40,38.85844
0.0,1001,39.976908
0.0,180,40.484547
0.0,164,40.870415
0.0,100,41.642753
0.0,277,42.115147
0.0,64,42.534364
0.0,172,42.894778
0.0,665,43.620439
0.0,4,43.748557
0.0,614,45.627626
0.0,900,45.627714
0.0,128,49.801525
0.0,520,52.260817
0.0,680,52.995373
0.0,375,53.026563
0.0,609,53.991311
0.0,70,54.573602
0.0,705,56.546134
0.0,4,56.671897
0.0,795,56.734493
0.0,454,56.906555
0.0,478,57.202683
0.0,625,59.183501
0.0,5,59.352283
0.0,98,59.939842
0.0,530,60.130875
0.0,651,61.026435
0.0,40,61.34118
0.0,1001,62.683305
0.0,302,62.748563
0.0,99,63.041106
0.0,261,64.97424
0.0,273,65.589405
1.0,94,65.659507
1.0,21,66.268045
0.0,136,67.09445
1.0,12,67.478573
0.0,456,67.699072
0.0,422,68.122458
0.0,226,68.282307
0.0,182,87.0616
0.0,17,87.607943
0.0,117,88.251183
0.0,431,89.184339
1.0,534,89.342433
0.0,31,90.350781
0.0,128,90.439635
1.0,910,91.323576
0.0,953,91.505118
0.0,38,91.684071
0.0,134,92.622409
0.0,25,93.445206
1.0,247,93.701479
0.0,22,94.439915
0.0,342,95.004205
0.0,144,95.107164
0.0,379,95.538669
0.0,79,96.080513
0.0,1001,96.317391
0.0,59,97.091093
0.0,901,97.254346
0.0,60,97.550916
1.0,53,98.065078
0.0,20,98.198215
1.0,121,99.034194
0.0,30,99.067815
0.0,158,99.686902
0.0,633,100.174974
0.0,445,100.497195
0.0,122,101.080286
0.0,429,103.299207
0.0,117,103.504091
0.0,369,103.850773
0.0,193,105.269251
0.0,494,107.40968
0.0,31,108.374933
0.0,9,108.655833
0.0,303,108.686473
1.0,654,108.808345
0.0,12,109.060213
1.0,199,109.522124
0.0,196,109.614679
1.0,388,109.646399
0.0,1001,109.770677
0.0,377,110.20391
0.0,64,110.804632
1.0,200,111.519459
0.0,57,111.551731
0.0,57,112.578896
0.0,814,112.707247
0.0,54,113.258595
0.0,117,113.911871
0.0,454,114.556889
0.0,588,114.895694
0.0,166,114.926612
0.0,6,115.09839
1.0,4,115.228137
0.0,44,115.994295
1.0,226,116.708413
0.0,228,116.864341
0.0,38,117.172166
0.0,148,117.539862
0.0,73,117.603229
0.0,292,117.938427
1.0,146,117.965278
0.0,560,118.218164
0.0,500,119.439083
0.0,106,119.879833
0.0,280,120.260465
0.0,112,120.538757
1.0,225,120.879697
1.0,47,121.71988
0.0,159,122.28335
0.0,47,122.346564
0.0,163,123.075248
0.0,86,123.105764
0.0,48,123.10581
0.0,1001,123.261974
0.0,8,123.318947
0.0,21,123.634117
0.0,219,123.974711
0.0,146,124.204876
0.0,20,124.236006
0.0,315,124.423023
0.0,172,124.586236
0.0,59,124.800042
1.0,31,125.106622
0.0,107,125.316372
0.0,258,125.420955
0.0,15,125.49939
1.0,32,125.628881
0.0,11,125.710822
0.0,92,125.870754
0.0,111,127.136045
1.0,68,127.479377
1.0,175,128.359719
1.0,262,130.034849
1.0,192,130.231982
0.0,116,131.295771
0.0,237,131.894941
0.0,1001,132.123231
0.0,264,132.384359
0.0,529,134.081147
0.0,139,134.563782
0.0,25,135.279847
0.0,110,135.347368
0.0,169,136.677163
0.0,379,137.789056
0.0,34,137.789144
0.0,397,137.88447
0.0,180,138.112354
0.0,13,138.21035
1.0,2,138.274338
0.0,697,138.308733
1.0,137,138.414355
0.0,7,138.545003
0.0,28,138.8067
0.0,422,139.097265
0.0,12,139.49003
0.0,4,139.615644
0.0,1001,140.198294
0.0,20,140.267712
0.0,55,140.33282
0.0,25,141.070397
0.0,10,141.393448
0.0,132,142.081165
0.0,429,142.240881
0.0,76,142.666765
0.0,233,142.923575
0.0,495,143.14308
0.0,33,143.296244
1.0,155,143.296314
0.0,1001,143.808568
0.0,19,143.87071
0.0,270,143.99145
0.0,580,144.408378
0.0,59,144.469735
0.0,97,145.11034
0.0,67,145.211021
0.0,26,145.242496
0.0,485,145.802745
0.0,80,145.802846
0.0,29,146.208859
0.0,24,146.600954
0.0,263,146.857183
1.0,68,147.346381
0.0,23,147.346535
0.0,122,148.456034
1.0,15,149.06001
0.0,52,149.161747
0.0,74,149.39683
1.0,44,150.525742
0.0,6,150.725728
0.0,53,150.922624
0.0,49,151.022443
0.0,19,151.350947
1.0,213,169.904657
1.0,11,170.210209
0.0,232,171.042634
0.0,333,172.468929
0.0,94,173.225298
1.0,393,174.206594
0.0,180,174.26916
0.0,602,175.898787
0.0,110,175.994128
1.0,60,176.181096
